source,url,title,price,period,bedrooms,bathrooms,toilets,size_sqm,furnishing,condition,property_type_clean,neighborhood
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-bungalow-in-chinda-by-ada-george-port-harcourt-for-rent-baGlsIsvrlBU69xZPvUFgGxb.html?page=10&pos=18&cur_pos=18&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=233,"3bdrm Bungalow in Chinda By Ada George, Port-Harcourt for rent",2300000.0,per annum,3.0,4.0,4.0,465.0,Unfurnished,Fairly Used,Bungalow,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-rNSjy5t7zXYoFEziWJ2RTzzJ.html?page=10&pos=20&cur_pos=20&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=235,2bdrm Block of Flats in Port-Harcourt for rent,1200000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Choba / Ozuoba
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-nta-port-harcourt-for-rent-zW7K2HaclIOowF0O0a1CcFaO.html?page=6&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=129,"2bdrm Block of Flats in Nta, Port-Harcourt for rent",1800000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-port-harcourt-for-rent-ila1qKyH9GKYiUmtICIjSlos.html?page=3&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=57,3bdrm Block of Flats in Port-Harcourt for rent,3500000.0,per annum,3.0,4.0,4.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Eneka / Rumuduru / Rumuokwurusi
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-port-harcourt-for-rent-sbUguqc4fC61O69umZtrNQWx.html?page=5&pos=15&cur_pos=15&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=110,4bdrm Duplex in Port-Harcourt for rent,15000000.0,per annum,4.0,5.0,5.0,465.0,Unfurnished,Fairly Used,Duplex,GRA / Eagle Island
Jiji,https://jiji.ng/ph-gra-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-gra-phase-2-port-harcourt-for-rent-pzPvNCRtNFSDDow8oB3iY2LF.html?page=3&pos=2&cur_pos=2&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=49,4bdrm Duplex in GRA Phase 2 / Port-Harcourt for rent,7000000.0,per annum,4.0,5.0,5.0,658.0,Unfurnished,Fairly Used,Duplex,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-shell-corperative-port-harcourt-for-rent-a6FgJlNM2y9I90MQU0ZzmecR.html?page=7&pos=15&cur_pos=15&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=158,"2bdrm Block of Flats in Shell Corperative, Port-Harcourt for rent",2800000.0,per annum,2.0,3.0,3.0,658.0,Unfurnished,Newly-Built,Apartment/Flat,Eneka / Rumuduru / Rumuokwurusi
Jiji,https://jiji.ng/eliozu/houses-apartments-for-rent/2bdrm-block-of-flats-in-eliozu-for-rent-mELYLTOA21KOtgp2jRi84SlC.html?page=7&pos=21&cur_pos=21&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=164,2bdrm Block of Flats in Eliozu for rent,1700000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Fairly Used,Apartment/Flat,Eliozu / Rumuodara / Rumuibekwe
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-8a8onxdXtwYnxLV8z371WAJM.html?page=9&pos=5&cur_pos=5&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=196,2bdrm Block of Flats in Port-Harcourt for rent,1500000.0,per annum,2.0,3.0,3.0,465.0,Unfurnished,Newly-Built,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-89DmHdwW2QvLabsWrQMFuDru.html?page=7&pos=6&cur_pos=6&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=149,2bdrm Block of Flats in Port-Harcourt for rent,1800000.0,per annum,2.0,3.0,3.0,555.0,Unfurnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/furnished-3bdrm-bungalow-in-port-harcourt-for-rent-7R0o3olHbHUJDojt7QWfQlUt.html?page=2&pos=22&cur_pos=22&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=45,Furnished 3bdrm Bungalow in Port-Harcourt for rent,5000000.0,per annum,3.0,4.0,4.0,555.0,Furnished,Newly-Built,Bungalow,Iwofe / Orazi
Jiji,https://jiji.ng/ph-gra-phase-2/houses-apartments-for-rent/4bdrm-bungalow-in-gra-phase-2-port-harcourt-for-rent-CqytiS9mkQ1j17uDmSfEgzEt.html?page=3&pos=20&cur_pos=20&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=67,4bdrm Bungalow in GRA Phase 2 / Port-Harcourt for rent,10000000.0,per annum,4.0,4.0,4.0,856.0,Unfurnished,Fairly Used,Bungalow,GRA / Eagle Island
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-agip-estate-port-harcourt-for-rent-qaBMh1dw4kXh1IyjHfzcHOpm.html?page=4&pos=9&cur_pos=9&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=80,"2bdrm Block of Flats in Agip Estate, Port-Harcourt for rent",2000000.0,per annum,2.0,3.0,3.0,555.0,Semi-Furnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-bungalow-in-port-harcourt-for-rent-kA12UgSvid9blwNgTIIQKt5P.html?page=8&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=177,2bdrm Bungalow in Port-Harcourt for rent,2500000.0,per annum,2.0,3.0,3.0,555.0,Semi-Furnished,Fairly Used,Bungalow,Ada George / Agip / NTA
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-ada-george-port-harcourt-for-rent-74cfAd4iB9ZbDmQVNlCYlrA.html?page=11&pos=11&cur_pos=11&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=250,"2bdrm Block of Flats in Ada George, Port-Harcourt for rent",2000000.0,per annum,2.0,3.0,3.0,555.0,Unfurnished,Fairly Used,Apartment/Flat,Ada George / Agip / NTA
